"Store","2021-06-14","2021-06-15","2021-06-16","2021-06-17","2021-06-18","2021-06-19","2021-06-20","2021-06-21","2021-06-22","2021-06-23","2021-06-24","2021-06-25","2021-06-26","2021-06-27","2021-06-28","2021-06-29","2021-06-30","2021-07-01","2021-07-02","2021-07-03","2021-07-04","2021-07-05","2021-07-06","2021-07-07","2021-07-08","2021-07-09","2021-07-10","2021-07-11"
"FreshChoice Glen Eden",5,6,3,2,4,0,0,5,4,3,5,2,0,0,5,4,3,3,4,0,0,3,5,8,5,3,0,0
"FreshChoice Half Moon Bay",3,5,6,2,4,0,0,3,8,5,4,4,0,0,4,3,4,6,5,0,0,6,5,4,8,3,0,0
"FreshChoice Mangere Bridge",7,5,3,2,5,0,0,4,6,4,6,5,0,0,8,3,6,2,6,0,0,5,3,7,2,3,0,0
"FreshChoice Otahuhu",4,2,5,5,5,0,0,4,2,4,3,3,0,0,4,2,5,2,5,0,0,5,4,3,5,3,0,0
"FreshChoice Ranui",3,5,3,7,5,0,0,4,4,6,5,5,0,0,3,4,5,5,2,0,0,4,7,6,8,4,0,0
"SuperValue Avondale",3,2,6,6,4,0,0,3,8,5,3,3,0,0,4,5,2,5,5,0,0,5,5,5,5,5,0,0
"SuperValue Flatbush",6,7,4,3,5,0,0,4,6,4,3,7,0,0,7,5,3,5,3,0,0,5,4,5,4,3,0,0
"SuperValue Palomino",4,2,2,6,3,0,0,7,6,6,5,4,0,0,6,4,3,5,5,0,0,5,5,5,7,7,0,0
"SuperValue Papakura",4,6,4,5,5,0,0,7,4,3,6,3,0,0,3,4,6,2,6,0,0,6,6,6,3,6,0,0
"SuperValue Titirangi",3,3,4,3,4,0,0,7,4,2,5,6,0,0,2,6,6,3,3,0,0,3,4,7,7,5,0,0
