,Countdown Airport,Countdown Auckland City,Countdown Aviemore Drive,Countdown Birkenhead,Countdown Blockhouse Bay,Countdown Botany Downs,Countdown Browns Bay,Countdown Glenfield,Countdown Greenlane,Countdown Grey Lynn,Countdown Grey Lynn Central,Countdown Hauraki Corner,Countdown Henderson,Countdown Highland Park,Countdown Hobsonville,Countdown Howick,Countdown Kelston,Countdown Lincoln Road,Countdown Lynfield,Countdown Lynmall,Countdown Mairangi Bay,Countdown Mangere East,Countdown Mangere Mall,Countdown Manukau,Countdown Manukau Mall,Countdown Manurewa,Countdown Meadowbank,Countdown Meadowlands,Countdown Milford,Countdown Mt Eden,Countdown Mt Roskill,Countdown Mt Wellington,Countdown Newmarket,Countdown Northcote,Countdown Northwest,Countdown Onehunga,Countdown Pakuranga,Countdown Papakura,Countdown Papatoetoe,Countdown Ponsonby,Countdown Pt Chevalier,Countdown Roselands,Countdown St Johns,Countdown St Lukes,Countdown Sunnynook,Countdown Sylvia Park,Countdown Takanini,Countdown Takapuna,Countdown Te Atatu,Countdown Te Atatu South,Countdown Three Kings,Countdown Victoria Street West,Countdown Westgate,Countdown Metro Albert Street,Countdown Metro Halsey Street,Distribution Centre Auckland,FreshChoice Glen Eden,FreshChoice Half Moon Bay,FreshChoice Mangere Bridge,FreshChoice Otahuhu,FreshChoice Ranui,SuperValue Avondale,SuperValue Flatbush,SuperValue Palomino,SuperValue Papakura,SuperValue Titirangi
Countdown Grey Lynn Central,1668.92,703.31,1985.42,950.67,1101.47,1918.44,1965.6,1308.45,851.92,232.2,0,1173.48,1287.86,2015.67,1578.74,2350.64,1214.68,1057.47,1037.38,1002.24,1585.73,1529.4,1636.61,1708.17,1758.3,2077.52,1215.86,2167.84,1361.42,423.83,715.5,1237.79,615.16,939.73,1196.65,1119.11,1512.52,2547.1,1654.28,128.64,395.62,2420,1703.73,409.77,1290.22,1168.01,2218.67,1035.6,1131.9,881.7,1113.32,670.5,1231.59,713.34,697.2,1419.72,1317.08,2037.03,1216.81,1464.58,1432.53,756.09,1828.16,1485.27,2584.95,1512.32
Countdown Hauraki Corner,2515.02,1119.72,2447.17,761.41,1947.57,2380.19,1533.68,876.53,1313.67,861.54,1025.96,0,2133.96,2477.42,1507.58,2812.39,2060.78,1903.57,1883.48,1848.34,1153.81,2375.5,2482.72,2169.93,2220.05,2729.29,1677.62,2629.6,420.99,1365.11,1768.78,1699.54,1076.92,575.37,1650.69,1965.21,1974.27,3008.85,2116.03,1040.42,1322.05,2881.75,2165.49,1401.05,858.3,1629.77,2680.43,313.48,1978,1727.8,1547.77,996.48,1714.31,974.45,823.46,2265.82,2163.18,2498.78,2062.92,1926.34,2278.63,1602.19,2289.91,2331.37,3046.7,2358.43
Countdown Henderson,2277.39,1658.71,2940.82,2042.48,1237.76,2873.84,2526.75,2243.78,1807.32,1451.16,1294.64,2265.3,0,2971.07,1365.76,3306.04,642.15,463.89,1645.84,885.35,2115.79,2137.87,2245.08,2663.58,2572.32,2685.98,2171.27,3123.25,2490.91,1624.53,1531.14,2193.19,1570.57,2031.55,983.67,1727.57,2467.92,3502.5,2609.69,1403.77,1138.47,3375.4,2659.14,1498.83,1991.41,2123.42,3174.08,2127.42,878.97,405.35,1721.78,1625.91,1018.61,1668.74,1656.93,2028.19,545.35,2992.43,1825.28,2419.99,636.13,993.56,2783.56,365.98,3540.35,932.87
Countdown Highland Park,2439.53,1926.18,69.06,2338.54,2673.7,575.08,3353.47,2696.32,1417.96,2046.22,2044.89,2561.35,2860.08,0,3150.96,436.41,2786.9,2629.69,2609.6,2574.47,2973.6,1778.33,2168,1441.02,1511.37,2070.93,1415.09,435.99,2749.29,1822.88,2494.9,1047.67,1727.84,2327.6,2768.87,1540.93,712.45,2384.16,1573.85,1913.81,2048.17,2202.08,1168.08,2127.18,2678.09,1216.07,2055.74,2423.47,2704.13,2453.93,1924.97,1869.35,2803.81,1985.63,2085.07,1750.61,2889.3,359.14,1871.85,1399.06,3004.75,2328.32,1201.13,3057.49,2422.01,3084.55
Countdown Hobsonville,2459.81,1841.14,3123.25,1660.6,1892.36,3056.27,1593.4,1310.43,1989.75,1633.58,1477.06,1540.65,1353.15,3153.5,0,3488.47,1716.2,860.22,1828.27,1632.67,1182.45,2320.29,2427.5,2846,2754.75,2868.41,2353.7,3305.67,1557.56,1806.96,1713.57,2375.62,1752.99,1406.23,501.89,1910,2650.35,3684.93,2792.11,1586.2,1320.9,3557.83,2841.56,1681.25,1058.06,2305.84,3356.5,1402.77,1094.59,946.99,1904.21,1808.33,565.51,1873.64,1722.65,2210.61,1659.79,3174.86,2007.7,2602.41,1235.27,1472.36,2965.99,1288.02,3722.78,2102.07
Countdown Howick,2411.86,2306.91,445.58,2719.27,3054.43,547.41,3734.2,3077.05,1798.69,2426.96,2425.62,2942.08,3240.81,469.76,3531.7,0,3167.63,3010.43,2890.16,2955.2,3354.33,2080.76,2140.34,1413.35,1483.7,2043.26,1795.82,277.22,3130.02,2203.61,2875.63,1428.4,2108.57,2708.33,3149.6,1921.67,1093.18,2356.49,1546.18,2294.54,2428.9,2090.22,1548.81,2507.91,3058.82,1596.8,2028.07,2804.2,3084.86,2834.66,2305.7,2250.08,3184.54,2366.36,2465.8,2034.73,3270.03,546.68,2264.51,1606.35,3385.48,2709.05,1173.46,3438.23,2394.34,3465.28
Countdown Kelston,1975.04,1654.08,2936.19,2037.85,681.33,2869.21,2923.75,2395.63,1802.69,1446.52,1290.01,2260.66,636.94,2966.44,1762.76,3301.41,0,1033.58,918.84,485.14,2512.79,1835.52,1942.73,2399.01,2269.97,2383.63,2166.64,3118.61,2448.6,1461.03,1135.53,2188.56,1565.93,2026.91,1380.67,1425.23,2463.29,3102.86,2305.58,1399.14,1017.44,2975.76,2654.5,1194.55,2388.41,2118.78,2774.44,2122.78,1275.97,802.35,1419.44,1621.28,1415.61,1664.11,1652.3,1725.84,186.83,2987.8,1522.93,2129.54,1241.06,594.9,2778.93,970.91,3140.71,458.71
Countdown Lincoln Road,2041.34,1422.66,2704.77,1806.44,1473.89,2637.79,2040.25,1757.28,1571.28,1215.11,1058.59,1987.5,472.58,2735.03,879.27,3069.99,1058.81,0,1409.79,1214.19,1629.3,1901.82,2009.03,2427.53,2336.27,2449.93,1935.22,2887.2,2004.41,1388.48,1295.09,1957.15,1334.52,1853.08,497.17,1491.53,2231.88,3266.46,2373.64,1167.72,902.42,3139.35,2423.09,1262.78,1504.92,1887.37,2938.03,1849.62,676.12,335.45,1485.73,1389.86,532.11,1432.69,1420.88,1792.14,962.01,2756.39,1589.23,2183.94,440.28,1053.89,2547.51,493.02,3304.3,1349.53
Countdown Lynfield,1290.81,1354.2,2636.31,1737.98,346.21,2461.1,2752.9,2095.75,1502.81,1146.65,990.13,1960.79,1548.95,2666.57,1839.84,3001.53,885.07,1318.57,0,698.45,2373.04,1151.29,1258.5,1714.78,1585.74,1699.4,1866.76,2740.28,2148.73,991.35,579.59,1888.69,1266.06,1727.04,1457.74,740.99,2163.42,2418.63,1621.35,1099.26,849.29,2291.53,2354.63,770.84,2077.53,1818.91,2090.21,1822.91,1393,1142.8,628.77,1321.4,1492.69,1364.23,1352.42,1041.61,897.02,2687.93,838.7,1445.31,1693.62,504.14,1918.51,1746.37,2456.48,803.91
Countdown Lynmall,1635.21,1417.19,2699.3,1800.96,498.41,2632.32,2815.15,2158.74,1565.8,1209.63,1053.12,2023.78,843.98,2729.55,1654.16,3064.52,410.73,1132.89,703.22,0,2404.19,1495.69,1602.9,2059.19,1930.15,2043.81,1929.75,2881.73,2211.71,1121.2,795.7,1951.67,1329.04,1790.03,1272.07,1085.4,2226.4,2763.04,1965.76,1162.25,790.58,2635.94,2417.61,854.73,2279.81,1881.89,2434.61,1885.89,1207.32,957.12,1079.61,1384.39,1307.01,1427.22,1415.41,1386.01,557.34,2750.91,1183.1,1789.71,1507.95,255.07,2262.92,1177.95,2800.89,558.11
Countdown Mairangi Bay,2989.12,1593.81,2921.27,1235.51,2421.67,2854.29,539.91,765.95,1787.77,1335.64,1500.05,1115.56,2148.73,2951.52,1154.36,3286.49,2511.79,1655.8,2357.58,2428.25,0,2849.6,2956.81,2644.02,2694.15,3203.39,2151.72,3103.69,509.66,1839.2,2242.88,2173.64,1551.01,981.14,1297.47,2439.31,2448.37,3482.95,2590.13,1514.51,1796.14,3355.85,2639.58,1875.15,313.73,2103.86,3154.52,977.68,1890.18,1742.58,2021.86,1470.58,1361.09,1448.54,1297.55,2739.92,2455.37,2972.88,2537.01,2400.43,2030.86,2076.29,2764.01,2083.6,3520.8,2897.66
Countdown Mangere East,686.83,1886.47,2128.33,2270.24,1357.97,1612.5,3285.17,2628.02,1236.65,1678.91,1522.39,2493.05,2081.22,2158.58,2372.1,2133.38,1800.74,1850.83,1165.13,1489.7,2905.3,0,330.39,866.18,737.14,850.8,1571.07,1891.68,2680.99,1408.86,1150.49,1025.29,1798.32,2259.3,1990.01,836.84,1328.26,1570.03,594.16,1631.53,1602.67,1442.93,1585.69,1395.47,2609.79,955.52,1241.61,2355.17,1925.26,1675.06,1001.27,1853.66,2024.95,1896.5,1884.69,433.7,1861.93,2179.94,539.48,413.16,2225.89,1295.38,1069.91,2278.63,1607.88,1768.82
Countdown Mangere Mall,563.11,1940.26,2225.56,2324.04,1411.77,1709.73,3338.97,2681.81,1777.18,1732.71,1576.19,2546.85,2135.01,2255.81,2425.9,2230.6,1854.54,1904.63,1218.93,1543.5,2959.1,335.52,0,963.41,834.37,948.03,2111.6,1988.9,2734.79,1462.66,1204.29,1565.83,1852.12,2313.1,2043.81,890.63,1982.25,1667.26,869.98,1685.32,1656.47,1540.16,2126.23,1449.27,2663.59,1496.05,1338.83,2408.97,1979.06,1728.86,1055.07,1907.46,2078.75,1950.3,1938.48,436.3,1915.73,2277.17,458.19,702.08,2279.69,1349.18,1167.14,2332.43,1705.11,1822.62
Countdown Manukau,1202.03,1675.73,1435.79,2088.09,1873.18,959.2,3103.02,2445.87,1167.51,1795.78,1794.44,2310.91,2609.63,1477.52,2900.52,1480.08,2315.94,2379.25,1680.33,2004.9,2723.16,870.93,930.51,0,150.49,686.85,1501.93,1238.38,2498.84,1572.43,1665.7,956.15,1477.39,2077.16,2518.43,1352.04,1372.58,1181.69,439.2,1663.36,1797.72,1054.59,1516.55,1876.73,2427.64,886.38,853.26,2173.02,2453.68,2203.48,1516.47,1618.91,2553.36,1735.18,1834.62,1224.54,2377.14,1715.63,1054.68,755.37,2754.3,1810.59,416.61,2807.05,1219.54,2284.03
Countdown Manukau Mall,1113.86,1637.95,1471.33,2050.32,1785.01,994.74,3065.24,2408.09,1129.74,1758,1756.67,2273.13,2571.86,1513.07,2862.74,1515.62,2227.78,2341.47,1592.17,1916.74,2685.38,782.77,842.34,206.79,0,598.68,1464.16,1273.92,2461.06,1534.65,1577.53,918.38,1439.62,2039.38,2480.65,1263.88,1334.8,1087.51,548.46,1625.58,1759.94,960.41,1478.78,1838.95,2389.87,848.6,759.09,2135.25,2415.9,2165.7,1428.31,1581.13,2515.59,1697.41,1796.85,1136.37,2288.97,1629.72,966.52,717.59,2716.53,1722.42,452.15,2769.27,1125.36,2195.86
Countdown Manurewa,1164.76,2214.44,1832.86,2626.8,1835.9,1356.27,3641.73,2984.58,1706.22,2156.84,2000.32,2849.61,2559.15,1874.59,2850.03,1877.14,2278.67,2328.76,1643.06,1967.63,3261.86,833.66,893.23,748.73,617.78,0,2040.64,1635.44,3037.55,1886.79,1628.43,1494.86,2016.1,2615.86,2467.94,1314.77,1911.28,1280.11,914,2109.46,2080.6,1108.76,2055.26,1873.4,2966.35,1425.08,918.05,2711.73,2403.19,2152.99,1479.2,2157.61,2502.88,2273.89,2373.33,1187.26,2339.86,2206.2,1017.41,1294.08,2703.82,1773.31,813.68,2756.56,1317.96,2246.75
Countdown Meadowbank,1804.89,1164.88,1402.39,1577.24,1912.39,1464.06,2592.17,1935.02,620.01,1284.92,1283.59,1800.05,2098.78,1432.65,2389.66,1767.61,2025.6,1868.39,1848.3,1813.16,2212.3,1569.45,2056.97,1400.53,1450.65,1959.9,0,1659.23,1987.99,1061.57,1733.6,612.52,966.54,1566.3,2007.57,1007.05,1029.99,2239.46,1346.64,1152.51,1286.87,2112.35,461.34,1365.88,1916.79,791.77,1911.03,1662.17,1942.83,1692.63,1163.67,1108.05,2042.51,1224.33,1323.77,1585.32,2128,1454,1352.78,1156.94,2243.45,1567.02,1520.52,2296.19,2277.31,2323.25
Countdown Meadowlands,2179.45,2038.47,434.22,2450.83,2785.99,315.01,3465.76,2808.61,1530.26,2158.52,2157.19,2673.65,2972.38,445.92,3263.26,308.41,2899.2,2741.99,2657.76,2686.76,3085.9,1848.35,1907.93,1180.95,1251.3,1810.86,1619.91,0,2861.58,1935.17,2607.2,1159.97,1840.14,2439.9,2881.17,1653.23,897.07,2124.09,1313.78,2026.1,2160.46,1857.81,1372.9,2239.47,2790.39,1328.37,1795.66,2535.77,2816.42,2566.22,2037.27,1981.65,2916.11,2097.93,2197.36,1802.33,3001.6,728.51,2032.11,1373.95,3117.05,2440.61,941.06,3169.79,2161.94,3196.84
Countdown Milford,2722.22,1326.91,2654.37,968.6,2154.77,2587.39,1031.05,740.37,1520.87,1068.74,1233.15,465.2,2341.15,2684.62,1510.94,3019.59,2267.98,2012.38,2090.68,2055.54,514.32,2582.7,2689.91,2377.12,2427.25,2936.49,1884.81,2836.79,0,1572.3,1975.98,1906.74,1284.11,671.36,1654.05,2172.41,2181.47,3216.05,2323.23,1247.61,1529.24,3088.95,2372.68,1608.25,533.88,1836.96,2887.62,394.15,2246.76,1935,1754.96,1203.68,1717.68,1181.64,1030.65,2473.02,2370.38,2705.98,2270.11,2133.53,2387.44,1809.39,2497.11,2440.18,3253.9,2565.62
Countdown Mt Eden,1493.25,837.71,1862.74,1250.07,1341.44,1795.76,2265,1607.85,550.06,660,427.79,1472.88,1527.83,1892.99,1818.71,2227.96,1454.65,1297.44,979.34,1127.83,1885.13,1353.73,1460.94,1585.49,1635.62,2144.86,1093.19,2045.16,1660.82,0,628.13,1115.11,443.58,1239.13,1436.62,943.44,1389.84,2424.42,1531.6,465.09,639.79,2297.32,1581.05,372.18,1589.62,1045.33,2095.99,1335,1371.88,1121.68,552.51,607.73,1471.56,897.16,996.6,1244.05,1557.05,1914.35,1041.14,1341.9,1672.5,996.07,1705.48,1725.24,2462.27,1752.3
Countdown Mt Roskill,1228.32,1284.22,2185.58,1668,708.35,2398.61,2682.92,2025.77,933.54,1076.67,737.92,1890.81,1478.97,2215.84,1769.86,2550.8,1108.24,1248.59,564.47,797.2,2303.06,1088.8,1196.01,1652.29,1523.25,1636.91,1796.78,2677.79,2078.75,627.94,0,1818.7,914.23,1657.06,1387.77,678.51,1712.69,2356.14,1558.86,847.05,669.24,2229.04,1903.9,394.7,2007.55,1748.93,2027.72,1752.93,1323.02,1072.82,429.56,1251.42,1422.7,1294.25,1282.44,979.12,1210.64,2237.2,776.21,1382.82,1623.64,602.89,1856.02,1676.39,2393.99,1119.2
Countdown Mt Wellington,1798.05,1172.56,1018.6,1584.93,1920.08,951.63,2599.85,1942.7,664.35,1292.61,1291.28,1807.74,2106.47,1048.86,2397.35,1383.82,2033.29,1876.08,1855.99,1820.85,2219.99,1039.02,1526.53,870.09,920.22,1429.46,609.55,1201.03,1995.67,1069.26,1741.29,0,974.23,1573.99,2015.26,828.11,545.71,1709.02,816.2,1160.19,1294.55,1581.92,573.19,1373.56,1924.48,197.25,1380.59,1669.86,1950.51,1700.31,1171.36,1115.74,2050.2,1232.02,1331.46,1054.88,2135.69,1070.22,1650.7,626.5,2251.14,1574.7,990.08,2303.88,1746.87,2330.93
Countdown Newmarket,1868.89,553.92,1614.65,966.28,1301.44,1547.67,1981.21,1324.06,396.61,673.97,672.64,1189.1,1487.83,1644.9,1778.71,1979.86,1414.65,1257.44,1237.35,1202.21,1601.35,1729.37,1836.58,1337.4,1387.52,1896.76,845.09,1797.07,1377.03,372.24,1122.65,867.02,0,955.35,1396.62,1319.08,1141.75,2176.33,1283.51,541.55,675.91,2049.22,1332.96,754.92,1305.84,797.24,1847.9,1051.22,1331.87,1081.67,598.3,497.1,1431.56,613.38,712.82,1619.69,1517.05,1666.26,1416.79,1093.81,1632.5,956.06,1457.39,1685.24,2214.18,1712.29
Countdown Northcote,2411.4,1016.09,2343.55,371.39,1843.95,2276.57,1367.36,513.35,1210.05,757.92,922.33,601.72,2030.33,2373.8,1341.27,2708.77,1957.16,1799.95,1779.86,1744.72,987.5,2271.88,2379.09,2066.3,2116.43,2625.67,1573.99,2525.97,707.61,1261.48,1665.16,1595.92,973.29,0,1484.38,1861.59,1870.65,2905.23,2012.41,936.79,1218.42,2778.13,2061.86,1297.43,691.99,1526.14,2576.8,463.83,1874.38,1624.18,1444.14,892.86,1548,870.82,719.83,2162.2,2059.56,2395.16,1959.29,1822.71,2175,1498.57,2186.29,2227.75,2943.08,2254.8
Countdown Northwest,2528.79,1910.11,3192.23,1705.17,1961.34,3125.25,1637.98,1355.01,2058.73,1702.56,1546.04,1585.23,1422.13,3222.48,476.99,3557.45,1785.18,929.19,1897.24,1701.64,1227.02,2389.27,2496.48,2914.98,2823.72,2937.38,2422.67,3374.65,1602.14,1875.93,1782.55,2444.6,1821.97,1450.81,0,1978.98,2719.33,3753.91,2861.09,1655.17,1389.88,3626.8,2910.54,1750.23,1102.64,2374.82,3425.48,1447.34,1163.57,1015.97,1973.19,1877.31,245.71,1918.21,1767.22,2279.59,1728.77,3243.84,2076.68,2671.39,928.39,1541.34,3034.97,1356.99,3791.75,2171.05
Countdown Onehunga,839.23,1596.49,1569.87,1660.22,1067.99,1502.89,2675.15,2017.99,631.46,1388.93,1232.42,1883.03,1791.24,1600.12,2082.12,1935.09,1510.76,1560.85,875.15,1199.72,2295.28,699.71,806.92,1263.2,1134.16,1247.82,1003.01,1752.3,2070.97,849.74,860.52,815.49,856.66,1649.28,1700.03,0,1096.97,1967.05,1169.77,1341.55,1312.69,1839.95,1288.18,1105.49,1999.77,859.81,1638.63,1745.15,1635.28,1385.08,477.43,1563.69,1734.97,1307.31,1406.75,590.03,1571.95,1621.48,387.12,993.72,1935.91,1005.41,1466.93,1988.65,2004.9,1478.84
Countdown Pakuranga,1842.88,1445.1,734.7,1857.46,2192.61,665.44,2872.39,2215.24,936.88,1565.15,1563.81,2080.27,2379,764.95,2669.88,1099.92,2305.82,2148.61,2128.52,2093.39,2492.52,1297.25,2031.22,1374.78,1424.9,1934.14,1034.83,914.85,2268.21,1341.8,2013.82,566.59,1246.76,1846.52,2287.79,1059.85,0,2213.71,1320.89,1432.73,1567.09,2086.6,787.82,1646.1,2197.01,734.99,1885.28,1942.39,2223.05,1972.85,1443.89,1388.27,2322.73,1504.55,1603.99,1269.53,2408.22,786.31,1390.77,917.98,2523.67,1847.24,1249.34,2576.41,2251.55,2603.47
Countdown Papakura,1954.39,2532.48,2472.64,2944.85,2625.53,2088.77,3959.77,3302.62,2024.27,2652.53,2651.2,3167.66,3466.39,2502.89,3757.27,2609.64,3068.3,3236,2432.69,2757.26,3579.91,1623.29,1682.86,1307.28,1139.01,1585.79,2358.69,2367.94,3355.59,2429.18,2418.05,1812.91,2334.15,2933.91,3375.18,2104.4,2229.33,0,1442.98,2520.11,2654.48,147.88,2373.31,2733.48,3284.4,1743.13,434.05,3029.78,3310.43,3060.23,2268.83,2475.66,3410.12,2591.94,2691.38,1976.89,3129.49,2524.25,1807.04,1612.12,3611.06,2562.94,1444.95,3663.8,216.09,3036.38
