,Countdown Airport,Countdown Auckland City,Countdown Aviemore Drive,Countdown Birkenhead,Countdown Blockhouse Bay,Countdown Botany Downs,Countdown Browns Bay,Countdown Glenfield,Countdown Greenlane,Countdown Grey Lynn,Countdown Grey Lynn Central,Countdown Hauraki Corner,Countdown Henderson,Countdown Highland Park,Countdown Hobsonville,Countdown Howick,Countdown Kelston,Countdown Lincoln Road,Countdown Lynfield,Countdown Lynmall,Countdown Mairangi Bay,Countdown Mangere East,Countdown Mangere Mall,Countdown Manukau,Countdown Manukau Mall,Countdown Manurewa,Countdown Meadowbank,Countdown Meadowlands,Countdown Milford,Countdown Mt Eden,Countdown Mt Roskill,Countdown Mt Wellington,Countdown Newmarket,Countdown Northcote,Countdown Northwest,Countdown Onehunga,Countdown Pakuranga,Countdown Papakura,Countdown Papatoetoe,Countdown Ponsonby,Countdown Pt Chevalier,Countdown Roselands,Countdown St Johns,Countdown St Lukes,Countdown Sunnynook,Countdown Sylvia Park,Countdown Takanini,Countdown Takapuna,Countdown Te Atatu,Countdown Te Atatu South,Countdown Three Kings,Countdown Victoria Street West,Countdown Westgate,Countdown Metro Albert Street,Countdown Metro Halsey Street,Distribution Centre Auckland,FreshChoice Glen Eden,FreshChoice Half Moon Bay,FreshChoice Mangere Bridge,FreshChoice Otahuhu,FreshChoice Ranui,SuperValue Avondale,SuperValue Flatbush,SuperValue Palomino,SuperValue Papakura,SuperValue Titirangi
Countdown Grey Lynn Central,22735.41,7013.02,21739.27,10433.8,11773.13,21672.76,22598.44,15693.87,9861.17,2084.86,0,11717.59,12177.21,21859.23,19415.44,25632.87,9786.48,11957.84,11043.95,8394.09,19138.76,21125.05,22028.94,23659.52,24558.05,27093.11,13342.21,24593.13,14174.93,3309.02,6198.87,15356.48,6910.24,10329.03,15001.91,14498.83,17784.77,36378.24,21478.15,1203.05,3000.96,33584.3,19991.67,3704.37,14999.94,14813.1,31475.5,11043.21,10755.85,9563.05,13242.71,6664.59,14764.99,6370.52,7305.95,18315.36,12185.53,23429.75,16137.29,18823.89,14640.71,6753.4,24911.73,15852.28,36483.57,16968.59
Countdown Hauraki Corner,33973.38,10061.2,27230.86,6322.68,23011.1,27164.35,15112.96,8208.39,15352.76,9064.79,10278.95,0,23415.18,27350.82,18001.22,31124.46,21024.45,23195.81,22281.92,19632.06,11653.28,32363.03,33266.91,29151.11,30049.64,35965.47,18833.8,30084.72,3453.08,14938.5,20723.74,20848.07,12401.83,4066.95,22160.36,25736.8,23276.36,41869.83,26969.74,10407.92,14407.51,39075.89,25483.26,14921.66,7514.46,20304.69,36967.09,2010.26,21993.82,20801.02,16913.44,9457.51,22501.14,9284.91,8523.34,29553.32,23423.5,28921.34,27375.26,24315.48,25878.69,17991.37,30403.33,27090.25,41975.16,28206.56
Countdown Henderson,28336.23,17202.15,31928.4,22718.95,10066.86,31861.89,29208.88,28165.5,20050.3,13840.7,12741.48,24002.73,0,32048.36,14121.61,35822.01,4692.11,3499.26,16644.76,7762.94,25760.09,26725.87,27629.75,33848.65,32895.56,32693.93,23531.34,34782.26,30446.42,16003.4,15086.58,25545.61,17099.38,22614.17,9708.08,20099.64,27973.9,46567.38,31667.29,13700.66,9975.9,43773.44,30180.8,13915.54,24814.39,25002.24,41664.63,23328.36,5450.28,2608.92,18843.52,16853.73,9471.17,16559.65,16353.33,23916.17,4691.34,33618.89,21738.1,29013.02,4901.97,8619.01,35100.87,2803.02,46672.7,8238.13
Countdown Highland Park,26494.96,19489.1,252.65,26275.04,31062.77,4461.49,38439.68,31535.11,13419.6,21471.88,21498.04,27558.83,31466.85,0,38705.07,3176.56,29076.12,31247.48,30333.59,27683.72,34980,14044.73,22189.01,12006.78,12531.41,18869.86,11479.48,4091.95,30016.17,17975.95,28775.41,7722,18231.88,26170.27,34291.54,12759.81,4458.49,24779.25,12531.65,20060.78,22459.18,22464.8,8748.83,22973.33,30841.18,8627.92,19876.51,26884.45,30045.48,28852.68,19312.19,19125.22,34054.63,20112.15,23147.19,14076.3,31475.16,3012.29,15603.52,11001.39,33930.35,26043.03,10143.35,35141.91,24884.58,36258.23
Countdown Hobsonville,34788.75,23654.67,38380.93,20569.51,23826.47,38314.41,16218.22,15174.84,26502.83,20293.22,19194,17888.25,14050.71,38500.89,0,42274.53,18442.76,9526.92,23097.29,18501.56,12769.44,33178.39,34082.27,40301.18,39348.09,39146.45,29983.87,41234.79,17455.76,22455.93,21539.11,31998.13,23551.9,16522.8,4985.96,26552.16,34426.43,53019.9,38119.81,20153.18,16428.43,50225.96,36633.33,20368.07,11823.74,31454.76,48117.16,17213.88,12040.54,11436.55,25296.04,23306.25,5326.74,23531.73,22770.17,30368.69,17325.47,40071.41,28190.63,35465.55,12209.79,17063.38,41553.39,13421.36,53125.23,22440.88
Countdown Howick,27295.79,23443.15,4149.86,30229.09,35016.82,5262.32,42393.73,35489.16,17373.65,25425.93,25452.09,31512.88,35420.89,3476.54,42659.12,0,33030.17,35201.53,33642.7,31637.78,38934.05,22239.04,22989.84,12807.61,13332.24,19670.69,15433.53,2525.73,33970.22,21930,32729.46,11676.05,22185.93,30124.32,38245.59,16713.86,8412.54,25580.09,13332.48,24014.83,26413.23,22895.98,12702.88,26927.38,34795.23,12581.97,20677.34,30838.5,33999.54,32806.73,23266.24,23079.27,38008.68,24066.2,27101.24,18625.43,35429.21,4583.51,25736.73,15253.88,37884.4,29997.08,10944.18,39095.96,25685.41,40212.28
Countdown Kelston,22783.85,16276.73,31002.98,21793.53,6442.83,30936.47,32496.83,27053.6,19124.89,12915.28,11816.06,23077.32,4635.77,31122.95,17409.56,34896.59,0,7645.16,7956.72,2438,29048.05,21173.49,22077.37,28174.41,27343.18,27141.55,22605.92,33856.84,25534.66,12727.99,9341.89,24620.19,16173.96,21688.76,12996.04,14547.26,27048.48,39596.71,26907.7,12775.24,8209.08,36802.78,29255.38,10248.51,28102.34,24076.82,34693.97,22402.94,8738.23,5896.87,13291.14,15928.31,12759.12,15634.23,15427.91,18363.79,1148.62,32693.47,16185.72,21947.15,9335.97,5011.8,34175.45,7237.02,39702.04,3842.1
Countdown Lincoln Road,27851.82,16717.75,31444,22234.54,16889.54,31377.49,24806.41,23763.03,19565.9,13356.29,12257.08,26476.44,3515.82,31563.96,9719.14,35337.61,7893.49,0,16160.36,11564.63,21357.62,26241.46,27145.34,33364.25,32411.16,32209.52,23046.94,34297.86,26043.95,15519,14602.18,25061.21,16614.97,25110.99,5305.61,19615.24,27489.5,46082.97,31182.88,13216.25,9491.5,43289.04,29696.4,13431.14,20411.92,24517.83,41180.23,25802.06,5103.61,2361.12,18359.11,16369.32,5068.69,16075.25,15868.92,23431.76,7892.72,33134.48,21253.7,28528.62,3120.52,10126.46,34616.46,4332.08,46188.3,11439.51
Countdown Lynfield,15442.38,15877.12,30603.37,21393.91,2175.89,27952.81,33558.55,26653.98,18725.27,12515.66,11416.45,22677.7,16173.8,30723.33,23412.03,34496.97,8534.69,15954.44,0,6075.12,30098.87,13832.02,14735.9,20832.95,20001.72,19800.08,22206.31,30938.58,25135.04,7318.87,4215.94,24220.58,15774.34,21289.14,18998.5,7205.79,26648.87,32255.25,19566.23,12375.62,7523.23,29461.31,28855.77,6987.11,25960.06,23677.2,27352.51,22003.33,14752.44,13559.64,6204.97,15528.69,18761.58,15234.62,15028.29,11022.32,8741.56,32293.85,8844.26,14605.69,18637.31,4643.72,22607.48,19848.87,32360.57,8468.81
Countdown Lynmall,19402.7,13794.15,28520.4,19310.94,3234.33,28453.89,33756.12,24571.01,16642.3,10432.7,9333.48,20594.73,7460.91,28640.36,18668.85,32414.01,2070.22,11211.26,5784.23,0,30307.34,17792.34,18696.22,24793.26,23962.04,23760.4,20123.34,31374.26,23052.08,9346.84,5960.74,22137.61,13691.38,19206.17,14255.33,11166.11,24565.9,36215.57,23526.55,10292.66,5623.84,33421.63,26772.8,6867.37,29361.64,21594.23,31312.83,19920.36,10009.27,8816.46,9909.99,13445.73,14018.41,13151.65,12945.33,14982.64,3593.08,30210.88,12804.58,18566.01,13894.13,1630.66,26567.8,10062.16,36320.89,4957.44
Countdown Mairangi Bay,41409.17,17496.98,34666.64,13758.46,30446.88,34600.13,4495.23,7606.54,22788.54,16500.57,17714.73,11077.21,25772.38,34786.61,12548.49,38560.25,30164.43,21248.6,29717.71,30223.23,0,39798.81,40702.69,36586.89,37485.43,43401.25,26269.58,37520.5,4569.75,22374.28,28159.53,28283.85,19837.62,9711.76,16707.63,33172.58,30712.14,49305.62,34405.53,17843.7,21843.3,46511.68,32919.04,22357.45,3178.15,27740.48,44402.88,10402.84,23762.21,23158.22,24349.22,16893.29,17048.41,16720.69,15959.13,36989.11,29047.15,36357.13,34811.04,31751.26,23931.47,25427.15,37839.11,25143.03,49410.94,34162.55
Countdown Mangere East,7506.18,25800.85,24348.65,31317.64,17135.95,16415.52,43482.28,36577.71,13153.93,22439.4,21340.18,32601.43,26097.54,24468.62,33335.76,21588,20131.95,25878.17,13853.08,17831.09,40022.61,0,2885.24,9295.66,8464.43,8262.79,15486.75,19401.3,35058.78,16036.34,13440.09,8377.94,25698.08,31212.87,28922.23,9223.1,9999.7,20717.96,5235.95,22299.36,21817.64,17924.02,12712,17259.58,35883.79,7834.57,15815.22,31927.06,24676.17,23483.37,11763.2,25452.43,28685.32,25158.35,24952.03,4360.07,22604.17,26039.14,5947.11,3146.12,28561.04,16399.69,11070.2,29772.6,20823.29,22331.41
Countdown Mangere Mall,5008.66,26547.35,25239.83,32064.14,17882.45,17306.7,44228.78,37324.21,25194.19,23185.89,22086.67,33347.93,26844.03,25359.79,34082.26,22479.18,20878.44,26624.67,14599.58,18577.59,40769.1,2879.07,0,10186.84,9355.61,9153.97,27527.01,20292.47,35805.27,16782.84,14186.58,20418.2,26444.57,31959.37,29668.73,9969.59,23608.42,21609.14,8920.12,23045.85,22564.14,18815.2,24752.26,18006.08,36630.29,19874.82,16706.4,32673.55,25422.67,24229.87,12509.7,26198.92,29431.81,25904.85,25698.52,3341.42,23350.66,26930.32,3745.71,5743.87,29307.54,17146.18,11961.38,30519.1,21714.46,23077.91
Countdown Manukau,14489.95,21375.09,11988.03,28161.03,24119.73,7981.82,40325.67,33421.1,15305.59,23357.87,23384.04,29444.82,33352.84,12195.49,40591.07,13154.31,27115.72,33133.47,20836.86,24814.87,36866,9433.19,10184,0,853.67,5313.79,17638.41,10967.6,31902.17,19861.94,20423.87,10529.6,20117.88,28056.26,36177.54,16206.88,13719.82,13627.67,3119.06,21946.78,24345.17,10833.74,14863.67,24859.32,32727.18,9986.23,8724.93,28770.45,31931.48,30738.68,18746.98,21011.21,35940.62,21998.14,25033.18,13655.21,29587.94,14687.44,12930.89,8267.5,35816.34,23383.46,2636.5,37027.91,13733,29315.19
Countdown Manukau Mall,13786.86,21871.08,12392.78,28657.02,23416.64,8386.58,40821.65,33917.09,15801.58,23853.85,23880.02,29940.81,33848.82,12600.25,41087.05,13559.06,26412.63,33629.46,20133.76,24111.77,37361.98,8730.1,9480.91,1105.04,0,4610.7,18134.4,11372.35,32398.15,20357.93,19720.77,11025.59,20613.86,28552.24,36673.52,15503.78,14215.81,13151.95,5643.02,22442.76,24841.16,10358.01,15359.65,25355.3,33223.16,10482.21,8249.21,29266.43,32427.46,31234.66,18043.88,21507.19,36436.61,22494.13,25529.17,12952.11,28884.85,17537.71,12227.8,8763.48,36312.33,22680.37,3041.25,37523.89,13257.28,28612.1
Countdown Manurewa,13326.4,28024.39,16364.75,34810.32,22956.17,12358.54,46974.96,40070.39,21954.89,28259.62,27160.4,36094.12,31917.76,16572.21,39155.98,17531.03,25952.17,31698.39,19673.3,23651.31,43515.29,8269.64,9020.44,5543.79,4753.87,0,24287.71,15344.32,38551.46,21856.56,19260.31,17178.9,26767.17,34705.55,34742.45,15043.32,20369.12,12439.47,7555.64,28119.58,27637.87,10706.87,21512.96,23079.8,39376.47,16635.52,7483.39,35419.74,30496.39,29303.59,17583.42,27660.5,34505.54,28647.44,31682.48,12491.65,28424.38,23691.02,11767.33,14916.79,34381.26,22219.91,7013.22,35592.82,12544.79,28151.63
Countdown Meadowbank,18315.08,10993.68,11335.06,17779.62,22567.35,12021.84,29944.26,23039.69,4922.35,12976.46,13002.62,19063.41,22971.43,11455.03,30209.65,15228.67,20580.7,22752.06,21838.17,19188.31,26484.58,15868.84,27695.88,17562.36,18460.9,24376.72,0,14518.33,21520.75,9480.53,20279.99,6024.55,9736.46,17674.85,25796.13,8770.58,7961.81,30281.09,15380.99,11565.36,13963.76,27487.15,3944.61,14477.91,22345.77,7669.43,25378.34,18389.04,21550.07,20357.26,10816.77,10629.8,25559.21,11616.73,14651.77,16098.28,22979.75,13025.55,11716.95,12726.73,25434.93,17547.62,18814.58,26646.49,30386.41,27762.81
Countdown Meadowlands,25197.79,22255.48,4095.9,29041.42,33829.14,3164.31,41206.05,34301.49,16185.98,24238.25,24264.42,30325.21,34233.22,4093.89,41471.45,2693.08,31842.49,34013.86,31544.69,30450.1,37746.38,20141.03,20891.83,10709.6,11234.23,17572.68,14462.92,0,32782.55,20742.33,31541.79,10488.38,20998.26,28936.64,37057.92,15526.19,7478.44,23482.08,11234.47,22827.16,25225.56,20797.97,11732.27,25739.71,33607.56,11394.3,18579.33,29650.83,32811.86,31619.06,22078.57,21891.59,36821,22878.53,25913.57,16527.42,34241.54,6912.37,23638.72,13155.87,36696.73,28809.41,8846.18,37908.29,23587.4,39024.61
Countdown Milford,36448.79,12536.6,29706.26,8798.08,25486.5,29639.75,9023.52,5515.94,17828.16,11540.19,12754.35,3602.71,25890.58,29826.22,17257.37,33599.87,23499.85,25957.47,24757.32,22107.46,4654.11,34838.43,35742.31,31626.51,32525.05,38440.87,21309.2,32560.12,0,17413.9,23199.15,23323.47,14877.24,4747.32,21416.5,28212.2,25751.76,44345.23,29445.14,12883.32,16882.92,41551.3,27958.66,17397.06,5040.3,22780.09,39442.49,3178.01,28471.08,23276.42,19388.84,11932.91,21757.29,11760.31,10998.74,32028.73,25898.9,31396.74,29850.66,26790.88,28640.34,20466.77,32878.73,29851.9,44450.56,30681.96
Countdown Mt Eden,17463.89,6983.92,18996.06,13769.86,14909.12,18929.54,25934.5,19029.93,4872.23,5405.97,3321.1,15053.65,15313.2,19116.02,22551.42,22889.66,12922.47,15093.83,7249.64,9272.88,22474.83,15853.54,16757.42,20916.31,21814.84,27730.67,10599,21849.92,17511,0,4432.29,12613.27,3782.05,13665.09,18137.89,9227.31,15041.56,33635.03,18734.94,2685.99,5177.7,30841.09,17248.46,2878.29,18336.01,12069.89,28732.29,14379.28,13891.83,12699.03,4720.33,3864.31,17900.98,7606.97,10642.01,13043.83,15321.51,20686.54,10865.77,16080.68,17776.7,9889.38,22168.52,18988.26,33740.36,20104.58
Countdown Mt Roskill,14904.17,14120.49,19122.89,19637.28,5471.14,27414.59,31801.92,24897.35,8495.64,10759.03,6327.14,20921.07,14417.17,19242.85,21655.4,23016.5,8310.4,14197.81,4178.63,6009.55,28342.24,13293.81,14197.69,20294.73,19463.5,19261.87,20449.68,30400.37,23378.41,4450.12,0,22463.95,8049.63,19532.51,17241.87,6667.58,15168.39,31717.04,19028.01,7286.32,5013.95,28923.1,17375.29,3101.37,24203.43,21920.57,26814.29,20246.7,12995.81,11803.01,2684.94,13772.06,17004.95,13477.99,13271.66,10484.11,10709.45,20813.38,8306.04,14067.47,16880.68,4578.14,22069.27,18092.24,31822.36,10666.6
Countdown Mt Wellington,24768.4,13182.68,7572.13,19968.62,24756.35,7505.62,32133.25,25228.69,7113.18,15165.46,15191.62,21252.41,25160.43,7692.09,32398.65,11465.73,22769.7,24941.06,24027.17,21377.3,28673.58,8635.42,20462.45,10328.93,11227.47,17143.29,6017.71,10425.99,23709.75,11669.53,22468.99,0,11925.46,19863.85,27985.13,6888.35,3617.63,23047.66,8147.57,13754.36,16152.76,20253.72,4442.65,16666.91,24534.76,1068.54,18144.91,20578.03,23739.06,22546.26,13005.77,12818.8,27748.21,13805.73,16840.77,8864.85,25168.74,9262.61,23209.34,5493.3,27623.93,19736.61,11581.15,28835.49,23152.98,29951.81
Countdown Newmarket,26795.24,4259.29,15961.19,11045.23,15832.96,15894.68,23209.87,16305.3,2992.22,6242.07,6268.23,12329.02,16237.04,16081.15,23475.26,19854.79,13846.31,16017.67,15103.78,12453.92,19750.19,25184.88,26088.76,17881.44,18779.97,24695.8,7564.13,18815.05,14786.36,3359.89,13545.6,9578.4,0,10940.46,19061.73,18558.65,12006.69,30600.16,15700.07,4830.97,7229.37,27806.23,14213.59,7743.52,15611.37,9035.02,25697.42,11654.64,14815.67,13622.87,5405.19,3895.41,18824.82,4882.34,7917.38,22375.18,16245.36,17651.67,20197.12,13045.81,18700.54,10813.22,19133.66,19912.1,30705.49,21028.42
Countdown Northcote,33089.64,9177.46,26347.12,3058.03,22127.36,26280.6,13245.3,4207.23,14469.02,8181.04,9395.21,4083.89,22531.44,26467.08,16133.57,30240.72,20140.71,22312.07,21398.18,18748.31,9785.63,31479.28,32383.16,28267.37,29165.9,35081.73,17950.05,29200.97,4813.54,14054.75,19840,19964.32,11518.09,0,20292.71,24853.05,22392.62,40986.09,26086,9524.17,13523.77,38192.15,24599.52,14037.92,5646.81,19420.95,36083.35,3409.51,21110.08,19917.27,16029.69,8573.76,20633.49,8401.17,7639.6,28669.58,22539.76,28037.6,26491.52,23431.73,24994.94,17107.63,29519.58,26206.5,41091.41,27322.82
Countdown Northwest,36987.7,25853.63,40579.88,24233.96,26025.42,40513.37,19882.68,18839.3,28701.78,22492.17,21392.95,21552.71,16249.66,40699.84,4795.41,44473.48,20641.71,11725.87,25296.24,20700.51,16433.89,35377.34,36281.22,42500.13,41547.04,41345.4,32182.81,43433.74,21120.22,24654.88,23738.06,34197.09,25750.85,20187.26,0,28751.11,36625.38,55218.85,40318.76,22352.13,18627.38,52424.91,38832.28,22567.02,15488.19,33653.71,50316.11,20878.34,14239.49,13635.5,27494.99,25505.2,1942.25,27196.19,26434.62,32567.64,19524.42,42270.36,30389.57,37664.5,8300.47,19262.33,43752.34,15620.31,55324.18,24639.83
Countdown Onehunga,9712.91,20438.88,12712.05,18367.69,11773.98,12645.54,30532.33,23627.76,4985.87,17077.43,15978.21,19651.48,20735.57,12832.02,27973.79,16605.66,14769.98,20516.2,8491.11,12469.12,27072.65,8102.55,9006.43,15103.48,14272.25,14070.61,8876.83,15565.91,22108.82,8003.05,8078.12,6907.73,7626.04,18262.92,23560.27,0,8757.55,26525.78,13836.76,16937.39,16455.68,23731.84,10964.46,11897.62,22933.83,7516.83,21623.04,18977.1,19314.21,18121.4,3653.63,20090.46,23323.35,12204.8,15239.84,5292.85,17242.2,14402.54,3114.79,8876.22,23199.07,11037.72,16878.02,24410.63,26631.11,16969.45
Countdown Pakuranga,18180.43,15467.89,4279.07,22253.82,27041.55,4497.3,34418.46,27513.89,9398.38,17450.66,17476.83,23537.61,27445.63,4399.04,34683.86,8172.68,25054.9,27226.27,26312.37,23662.51,30958.79,10023.51,24183.66,14050.14,14948.68,20864.5,7835.37,7417.67,25994.96,13954.73,24754.2,3700.79,14210.67,22149.05,30270.33,8738.6,0,26768.87,11868.78,16039.57,18437.96,23974.93,5104.72,18952.11,26819.97,4606.71,21866.12,22863.24,26024.27,24831.47,15290.98,15104,30033.41,16090.93,19125.97,10055.08,27453.95,5969.56,11582.3,6980.17,29909.14,22021.82,10013.99,31120.7,26874.19,32237.01
